/AI/deleteGameAIUser {'timestamp': '2022-01-12T09:35:50.073+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/AI/deleteGameAIUser'}
/company/findGeneralShare {'timestamp': '2022-01-12T09:39:48.785+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/company/findGeneralShare'}
/company/updateCompanyState {'timestamp': '2022-01-12T09:41:26.066+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/company/updateCompanyState'}
/company/updateShare {'timestamp': '2022-01-12T09:41:31.167+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/company/updateShare'}
/feedback/deleteFeedback {'timestamp': '2022-01-12T09:41:36.035+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/feedback/deleteFeedback'}
/game/addGame {'timestamp': '2022-01-12T09:42:34.691+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/addGame'}
/game/deleteGameAll {'timestamp': '2022-01-12T09:42:39.605+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/deleteGameAll'}
/game/getGameById {'code': 20000, 'status': 403, 'message': 'tips.permissionError', 'data': None, 'token': None}
/game/getGameTreeTable {'code': 20000, 'status': 403, 'message': 'tips.permissionError', 'data': None, 'token': None}
/game/updateAllGameState {'timestamp': '2022-01-12T09:42:58.169+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateAllGameState'}
/game/updateCompanyGameState {'timestamp': '2022-01-12T09:43:03.488+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateCompanyGameState'}
/game/updateGame {'timestamp': '2022-01-12T09:43:08.870+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateGame'}
/game/updateGameHot {'timestamp': '2022-01-12T09:43:13.925+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'ath': '/game/updateGameHot'}
/game/updateGameSort {'timestamp': '2022-01-12T09:43:18.854+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateGameSort'}
/game/updateGeneralGameState {'timestamp': '2022-01-12T09:43:24.330+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateGeneralGameState'}
/game/updateStyleGameState {'timestamp': '2022-01-12T09:43:29.712+00:00', 'status': 400, 'error': 'Bad Request', 'message': '', 'path': '/game/updateStyleGameState'}
/gameManage/addGame {'code': 20000, 'status': 403, 'message': 'tips.permissionError', 'data': None, 'token': None}
/gameManage/addLotteryConfig {'code': 20000, 'status': 403, 'message': 'tips.permissionError', 'data': None, 'token': None}
